zpid_index,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_openHouse,listingSubType.is_bankOwned,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_forAuction,unit,listingSubType.is_foreclosure
25169849,,SINGLE_FAMILY,8241.552,"10941 Allen Dr, Garden Grove, CA 92840",https://photos.zillowstatic.com/fp/d496fd3ca377879573e25932ff840d42-p_e.jpg,599000,4.0,-117.941986,33.785767,FOR_SALE,25169849,FORECLOSURE,-1,3.0,1687.0,USA,USD,sqft,True,True,True,,,,,,
25372799,,SINGLE_FAMILY,0.6489898989899,"5530 Camino De Bryant, Yorba Linda, CA 92887",https://photos.zillowstatic.com/fp/f59bf28f4f6b927143be0f68dd599d09-p_e.jpg,2780000,5.0,-117.71239,33.886673,FOR_SALE,25372799,,-1,4.0,3750.0,USA,USD,acres,True,True,,True,,,,,
25600920,,SINGLE_FAMILY,7824.0,"501 W Avenida De Los Lobos Marinos, San Clemente, CA 92672",https://photos.zillowstatic.com/fp/5e5ed954df02be52c36f08eef07dcb8a-p_e.jpg,3125000,4.0,-117.60897,33.411842,FOR_SALE,25600920,,-1,4.0,3027.0,USA,USD,sqft,True,True,,True,,,,,
25527345,,SINGLE_FAMILY,5200.0,"22952 Broadleaf, Lake Forest, CA 92630",https://photos.zillowstatic.com/fp/ced27be04f2f3951aff96e2f4907cd43-p_e.jpg,800000,4.0,-117.68334,33.630657,FOR_SALE,25527345,,-1,3.0,2136.0,USA,USD,sqft,True,True,,True,,,,,
25275637,,SINGLE_FAMILY,7768.0,"20012 Mayport Ln, Huntington Beach, CA 92646",https://photos.zillowstatic.com/fp/16150207b9df627d0038bbe433d4ffa8-p_e.jpg,1199000,4.0,-117.974014,33.671967,FOR_SALE,25275637,,-1,2.0,1580.0,USA,USD,sqft,True,True,,True,,,,,
250186188,,SINGLE_FAMILY,0.4506,"46 Deep Sea, Newport Coast, CA 92657",https://photos.zillowstatic.com/fp/f46c643bc3c366096121aeba83b0c95f-p_e.jpg,62000000,6.0,-117.82945,33.57786,FOR_SALE,250186188,,-1,10.0,14500.0,USA,USD,acres,True,,,True,,,,,
25224700,,SINGLE_FAMILY,1850.0,"2151 W Wellington Cir, Anaheim, CA 92804",https://photos.zillowstatic.com/fp/22696b0c1b70bb95d26b59018b2bf116-p_e.jpg,649000,4.0,-117.95743,33.819206,FOR_SALE,25224700,,-1,3.0,1525.0,USA,USD,sqft,True,True,,True,,,,,
25308847,,SINGLE_FAMILY,7231.0,"5191 Princeton Ave, Westminster, CA 92683",https://photos.zillowstatic.com/fp/1abf26e92037e52908fd80826d774e91-p_e.jpg,1049000,4.0,-118.03927,33.7658,FOR_SALE,25308847,,-1,2.0,1636.0,USA,USD,sqft,True,True,,True,,,,,
25373638,,SINGLE_FAMILY,0.36269513314968,"17352 La Macinda Dr, Yorba Linda, CA 92886",https://photos.zillowstatic.com/fp/60ff5cf3f0caba7deb513f1e20ecf11d-p_e.jpg,1899999,4.0,-117.83099,33.894062,FOR_SALE,25373638,,-1,4.0,2787.0,USA,USD,acres,True,,,True,,,,,
25101763,,SINGLE_FAMILY,7680.0,"1531 Sansinena Ln, La Habra, CA 90631",https://photos.zillowstatic.com/fp/f6030d0ad1ac15abcc05d3547f9dc1cf-p_e.jpg,889000,4.0,-117.9631,33.9459,FOR_SALE,25101763,,-1,2.0,1540.0,USA,USD,sqft,True,True,,True,,,,,
